#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base,"system utils"
,base-devel,"gcc, make, ..."
,linux,"Linux kernel"
,xorg-server,"graphical server"
,xorg-apps,""
,xorg-xinit,"starts the graphical server."
,man-db,"lets you read man pages of programs."
,git,"version control"
,tig,"CLI frontend for git"
,yay,"Arch's AUR helper in Go"
,arandr,"allows the user to customize monitor arrangements."
,ntfs-3g,"allows your computer to access Windows filesystem."
,os-prober,"allows your computer to detect Windows for dual-boot"
,ly,"terminal display manager"
,lf,"terminal file manager in Go"
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,nsxiv,"is a minimalist image viewer."
,caja,"MATE's GUI file manager"
,eom,"MATE's GUI image viewer"
,crow-translate,"pop-up traslation with hotkey"
,mypaint,"lightweight image editor"
,alsa-utils,""
,pulseaudio,"is an audio controller."
,pulseaudio,"is an audio controller for ALSA."
,pavucontrol,"is an GUI audio mixer."
,flameshot,"can take quick screenshots"
,syncthing,"offline sync app across desktop/phone"
,brave-bin,"browser with out-of-the-box ad-blocker + 8) font ttf-liberation"
,telegram-desktop,"messaging app"
,discord,"voice chat"
,obsidian,"Electron note-app for soy-devs"
,vscode,"Electron IDE for soy-devs"
,neovim,"a tidier vim with some useful features"
,tmux,"teminal multiplexer"
,qtcreator,"IDE for debugging C/C++"
,gf2,"gdb front-end from handmade.network"
,htop,"CLI system monitor"
,unzip,"unzips zips."
,dmenu,"runs commands and provides a UI for selection."
,st,"suckless terminal emulator."
,dwm,"suckless window manager."
